Area,Item,Year,hect,average_rain_fall_mm_per_year,avg_temp,hg/ha_yield
Albania,Maize,1997,140000,1485,15.9,31862
Albania,Potatoes,1997,230000,1485,15.9,109874
Albania,Soybeans,1997,210000,1485,15.9,12768
Albania,Wheat,1997,140000,1485,15.9,28516
Albania,Maize,1998,140000,1485,16.27,33416
Albania,Potatoes,1998,230000,1485,16.27,127212
Albania,Soybeans,1998,210000,1485,16.27,14327
Albania,Wheat,1998,140000,1485,16.27,28037
Albania,Maize,1999,140000,1485,16.57,37455
Albania,Potatoes,1999,230000,1485,16.57,142018
Albania,Soybeans,1999,210000,1485,16.57,17143
Albania,Wheat,1999,140000,1485,16.57,24954
Albania,Maize,2000,140000,1485,16.67,38811
Albania,Potatoes,2000,230000,1485,16.67,141228
Albania,Soybeans,2000,210000,1485,16.67,15000
Albania,Wheat,2000,140000,1485,16.67,30455
Albania,Maize,2001,140000,1485,16.59,38135
Albania,Potatoes,2001,230000,1485,16.59,148818
Albania,Soybeans,2001,210000,1485,16.59,20000
Albania,Wheat,2001,140000,1485,16.59,28220
Albania,Maize,2002,140000,1485,16.47,39460
Albania,Potatoes,2002,230000,1485,16.47,153868
Albania,Soybeans,2002,210000,1485,16.47,20000
Albania,Wheat,2002,140000,1485,16.47,31617
Albania,Maize,2004,140000,1485,16.16,46197
Albania,Potatoes,2004,230000,1485,16.16,149346
Albania,Soybeans,2004,210000,1485,16.16,13333
Albania,Wheat,2004,140000,1485,16.16,31130
Albania,Maize,2005,140000,1485,15.67,45442
Albania,Potatoes,2005,230000,1485,15.67,167061
Albania,Soybeans,2005,210000,1485,15.67,17500
Albania,Wheat,2005,140000,1485,15.67,31582
Albania,Maize,2006,140000,1485,15.92,50111
Albania,Potatoes,2006,230000,1485,15.92,170745
Albania,Soybeans,2006,210000,1485,15.92,20000
Albania,Wheat,2006,140000,1485,15.92,30787
Albania,Maize,2007,140000,1485,16.67,46732
Albania,Potatoes,2007,230000,1485,16.67,188902
Albania,Soybeans,2007,210000,1485,16.67,20000
Albania,Wheat,2007,140000,1485,16.67,35496
Albania,Maize,2008,140000,1485,16.71,50000
Albania,Potatoes,2008,230000,1485,16.71,193878
Albania,Soybeans,2008,210000,1485,16.71,20000
Albania,Wheat,2008,140000,1485,16.71,40168
Albania,Maize,2009,140000,1485,16.73,55693
Albania,Potatoes,2009,230000,1485,16.73,219780
Albania,Soybeans,2009,210000,1485,16.73,16667
Albania,Wheat,2009,140000,1485,16.73,40229
Albania,Maize,2010,140000,1485,16.52,66790
Albania,Potatoes,2010,230000,1485,16.52,231111
Albania,Soybeans,2010,210000,1485,16.52,16667
Albania,Wheat,2010,140000,1485,16.52,39905
Albania,Maize,2011,140000,1485,16.45,59869
Albania,Potatoes,2011,230000,1485,16.45,242211
Albania,Soybeans,2011,210000,1485,16.45,18519
Albania,Wheat,2011,140000,1485,16.45,42301
Albania,Maize,2012,140000,1485,16.7,67290
Albania,Potatoes,2012,230000,1485,16.7,250538
Albania,Soybeans,2012,210000,1485,16.7,13333
Albania,Wheat,2012,140000,1485,16.7,41096
Albania,Maize,2013,140000,1485,17.41,69533
Albania,Potatoes,2013,230000,1485,17.41,260110
Albania,Soybeans,2013,210000,1485,17.41,10000
Albania,Wheat,2013,140000,1485,17.41,41292
Algeria,Maize,1985,4000000,89,16.99,6376
Algeria,Potatoes,1985,4210000,89,16.99,83576
Algeria,"Rice, paddy",1985,4333400,89,16.99,26667
Algeria,Sorghum,1985,4110957,89,16.99,9111
Algeria,Wheat,1985,4349600,89,16.99,8861
Algeria,Maize,1986,4000000,89,16.82,8433
Algeria,Potatoes,1986,4210000,89,16.82,83971
Algeria,"Rice, paddy",1986,4333400,89,16.82,26957
Algeria,Sorghum,1986,4110957,89,16.82,15385
Algeria,Wheat,1986,4349600,89,16.82,8084
Algeria,Maize,1987,4000000,89,17.59,14106
Algeria,Potatoes,1987,4210000,89,17.59,84197
Algeria,"Rice, paddy",1987,4333400,89,17.59,27083
Algeria,Sorghum,1987,4110957,89,17.59,18889
Algeria,Wheat,1987,4349600,89,17.59,7777
Algeria,Maize,1989,4000000,89,17.55,24000
Algeria,Potatoes,1989,4210000,89,17.55,96166
Algeria,"Rice, paddy",1989,4333400,89,17.55,27925
Algeria,Sorghum,1989,4110957,89,17.55,18632
Algeria,Wheat,1989,4349600,89,17.55,7821
Algeria,Maize,1990,4000000,89,17.48,16500
Algeria,Potatoes,1990,4210000,89,17.48,78936
Algeria,"Rice, paddy",1990,4333400,89,17.48,28000
Algeria,Sorghum,1990,4110957,89,17.48,16571
Algeria,Wheat,1990,4349600,89,17.48,6315
Algeria,Maize,1991,4000000,89,16.26,19231
Algeria,Potatoes,1991,4210000,89,16.26,90747
Algeria,"Rice, paddy",1991,4333400,89,16.26,26786
Algeria,Sorghum,1991,4110957,89,16.26,24231
Algeria,Wheat,1991,4349600,89,16.26,10809
Algeria,Maize,1992,4000000,89,16.27,22828
Algeria,Potatoes,1992,4210000,89,16.27,107917
Algeria,"Rice, paddy",1992,4333400,89,16.27,24733
Algeria,Sorghum,1992,4110957,89,16.27,40000
Algeria,Wheat,1992,4349600,89,16.27,9939
Algeria,Maize,1993,4000000,89,17,12500
Algeria,Potatoes,1993,4210000,89,17,111215
Algeria,"Rice, paddy",1993,4333400,89,17,23111
Algeria,Sorghum,1993,4110957,89,17,50000
Algeria,Wheat,1993,4349600,89,17,8097
Algeria,Maize,1994,4000000,89,17.88,4512
Algeria,Potatoes,1994,4210000,89,17.88,95078
Algeria,"Rice, paddy",1994,4333400,89,17.88,21374
Algeria,Wheat,1994,4349600,89,17.88,7999
Algeria,Maize,1995,4000000,89,17.36,16115
Algeria,Potatoes,1995,4210000,89,17.36,136768
Algeria,"Rice, paddy",1995,4333400,89,17.36,19598
Algeria,Sorghum,1995,4110957,89,17.36,12667
Algeria,Wheat,1995,4349600,89,17.36,8924
Algeria,Maize,1996,4000000,89,16.76,17154
Algeria,Potatoes,1996,4210000,89,16.76,134629
Algeria,"Rice, paddy",1996,4333400,89,16.76,17861
Algeria,Sorghum,1996,4110957,89,16.76,14750
Algeria,Wheat,1996,4349600,89,16.76,13090
Algeria,Maize,1997,4000000,89,17.84,21417
Algeria,Potatoes,1997,4210000,89,17.84,141042
Algeria,"Rice, paddy",1997,4333400,89,17.84,15000
Algeria,Sorghum,1997,4110957,89,17.84,40000
Algeria,Wheat,1997,4349600,89,17.84,8016
Algeria,Maize,1998,4000000,89,17.14,17222
Algeria,Potatoes,1998,4210000,89,17.14,160256
Algeria,"Rice, paddy",1998,4333400,89,17.14,15000
Algeria,Sorghum,1998,4110957,89,17.14,24500
Algeria,Wheat,1998,4349600,89,17.14,8847
Algeria,Maize,1999,4000000,89,17.97,22375
Algeria,Potatoes,1999,4210000,89,17.97,153532
Algeria,"Rice, paddy",1999,4333400,89,17.97,13942
Algeria,Sorghum,1999,4110957,89,17.97,27000
Algeria,Wheat,1999,4349600,89,17.97,10711
Algeria,Maize,2000,4000000,89,17.9,36186
Algeria,Potatoes,2000,4210000,89,17.9,166143
Algeria,"Rice, paddy",2000,4333400,89,17.9,13052
Algeria,Sorghum,2000,4110957,89,17.9,69500
Algeria,Wheat,2000,4349600,89,17.9,9194
Algeria,Maize,2001,4000000,89,18.13,27175
Algeria,Potatoes,2001,4210000,89,18.13,147018
Algeria,"Rice, paddy",2001,4333400,89,18.13,12314
Algeria,Sorghum,2001,4110957,89,18.13,27750
Algeria,Wheat,2001,4349600,89,18.13,11104
Algeria,Maize,2002,4000000,89,17.85,33480
Algeria,Potatoes,2002,4210000,89,17.85,183774
Algeria,"Rice, paddy",2002,4333400,89,17.85,12959
Algeria,Sorghum,2002,4110957,89,17.85,33900
Algeria,Wheat,2002,4349600,89,17.85,10739
Algeria,Maize,2004,4000000,89,17.38,31729
Algeria,Potatoes,2004,4210000,89,17.38,203585
Algeria,"Rice, paddy",2004,4333400,89,17.38,12829
Algeria,Sorghum,2004,4110957,89,17.38,43316
Algeria,Wheat,2004,4349600,89,17.38,13582
Algeria,Maize,2005,4000000,89,17.19,33864
Algeria,Potatoes,2005,4210000,89,17.19,216267
Algeria,"Rice, paddy",2005,4333400,89,17.19,12998
Algeria,Sorghum,2005,4110957,89,17.19,33486
Algeria,Wheat,2005,4349600,89,17.19,15057
Algeria,Maize,2006,4000000,89,18.13,65668
Algeria,Potatoes,2006,4210000,89,18.13,220689
Algeria,"Rice, paddy",2006,4333400,89,18.13,12769
Algeria,Sorghum,2006,4110957,89,18.13,56728
Algeria,Wheat,2006,4349600,89,18.13,15068
Algeria,Maize,2007,4000000,89,17.42,85625
Algeria,Potatoes,2007,4210000,89,17.42,189927
Algeria,"Rice, paddy",2007,4333400,89,17.42,13375
Algeria,Sorghum,2007,4110957,89,17.42,119059
Algeria,Wheat,2007,4349600,89,17.42,12742
Algeria,Maize,2008,4000000,89,17.55,44714
Algeria,Potatoes,2008,4210000,89,17.55,236393
Algeria,"Rice, paddy",2008,4333400,89,17.55,13952
Algeria,Sorghum,2008,4110957,89,17.55,61786
Algeria,Wheat,2008,4349600,89,17.55,11038
Algeria,Maize,2009,4000000,89,17.78,30914
Algeria,Potatoes,2009,4210000,89,17.78,250764
Algeria,"Rice, paddy",2009,4333400,89,17.78,14594
Algeria,Sorghum,2009,4110957,89,17.78,90465
Algeria,Wheat,2009,4349600,89,17.78,15975
Algeria,Maize,2010,4000000,89,17.59,25827
Algeria,Potatoes,2010,4210000,89,17.59,270526
Algeria,"Rice, paddy",2010,4333400,89,17.59,15305
Algeria,Sorghum,2010,4110957,89,17.59,30286
Algeria,Wheat,2010,4349600,89,17.59,14838
Algeria,Maize,2011,4000000,89,17.79,23374
Algeria,Potatoes,2011,4210000,89,17.79,292806
Algeria,"Rice, paddy",2011,4333400,89,17.79,16081
Algeria,Sorghum,2011,4110957,89,17.79,100000
Algeria,Wheat,2011,4349600,89,17.79,17405
Algeria,Maize,2012,4000000,89,17.91,25583
Algeria,Potatoes,2012,4210000,89,17.91,304291
Algeria,"Rice, paddy",2012,4333400,89,17.91,16667
Algeria,Sorghum,2012,4110957,89,17.91,206000
Algeria,Wheat,2012,4349600,89,17.91,17639
Algeria,Maize,2013,4000000,89,17.65,33649
Algeria,Potatoes,2013,4210000,89,17.65,303218
Algeria,"Rice, paddy",2013,4333400,89,17.65,17778
Algeria,Sorghum,2013,4110957,89,17.65,60000
Algeria,Wheat,2013,4349600,89,17.65,19100
Angola,Cassava,1985,5745000,1010,23.94,34250
Angola,Maize,1985,7000000,1010,23.94,4167
Angola,Potatoes,1985,7300000,1010,23.94,72727
Angola,"Rice, paddy",1985,6700000,1010,23.94,8333
Angola,Sweet potatoes,1985,8910000,1010,23.94,89474
Angola,Wheat,1985,5645000,1010,23.94,6250
Angola,Cassava,1986,5745000,1010,23.95,34878
Angola,Maize,1986,7000000,1010,23.95,3500
Angola,Potatoes,1986,7300000,1010,23.95,72727
Angola,"Rice, paddy",1986,6700000,1010,23.95,8333
Angola,Sweet potatoes,1986,8910000,1010,23.95,89474
Angola,Wheat,1986,5645000,1010,23.95,8000
Angola,Cassava,1987,5745000,1010,24.49,35000
Angola,Maize,1987,7000000,1010,24.49,3529
Angola,Potatoes,1987,7300000,1010,24.49,72727
Angola,"Rice, paddy",1987,6700000,1010,24.49,6667
Angola,Sweet potatoes,1987,8910000,1010,24.49,89474
Angola,Wheat,1987,5645000,1010,24.49,8000
Angola,Cassava,1989,5745000,1010,23.99,40000
Angola,Maize,1989,7000000,1010,23.99,2358
Angola,Potatoes,1989,7300000,1010,23.99,40000
Angola,"Rice, paddy",1989,6700000,1010,23.99,7500
Angola,Sweet potatoes,1989,8910000,1010,23.99,86842
Angola,Wheat,1989,5645000,1010,23.99,8000
Angola,Cassava,1990,5745000,1010,24.12,41177
Angola,Maize,1990,7000000,1010,24.12,2736
Angola,Potatoes,1990,7300000,1010,24.12,40000
Angola,"Rice, paddy",1990,6700000,1010,24.12,9512
Angola,Sweet potatoes,1990,8910000,1010,24.12,89342
Angola,Wheat,1990,5645000,1010,24.12,7995
Angola,Cassava,1991,5745000,1010,24.02,40295
Angola,Maize,1991,7000000,1010,24.02,4013
Angola,Potatoes,1991,7300000,1010,24.02,40000
Angola,"Rice, paddy",1991,6700000,1010,24.02,10000
Angola,Sweet potatoes,1991,8910000,1010,24.02,83001
Angola,Wheat,1991,5645000,1010,24.02,8000
Angola,Cassava,1992,5745000,1010,23.96,42295
Angola,Maize,1992,7000000,1010,23.96,3778
Angola,Potatoes,1992,7300000,1010,23.96,40000
Angola,"Rice, paddy",1992,6700000,1010,23.96,9106
Angola,Sweet potatoes,1992,8910000,1010,23.96,90000
Angola,Wheat,1992,5645000,1010,23.96,8000
Angola,Cassava,1993,5745000,1010,24.15,42295
Angola,Maize,1993,7000000,1010,24.15,2627
Angola,Potatoes,1993,7300000,1010,24.15,70000
Angola,"Rice, paddy",1993,6700000,1010,24.15,8000
Angola,Sweet potatoes,1993,8910000,1010,24.15,88095
Angola,Wheat,1993,5645000,1010,24.15,8876
Angola,Cassava,1994,5745000,1010,24.04,58596
Angola,Maize,1994,7000000,1010,24.04,2463
Angola,Potatoes,1994,7300000,1010,24.04,90000
Angola,"Rice, paddy",1994,6700000,1010,24.04,8750
Angola,Sweet potatoes,1994,8910000,1010,24.04,83192
Angola,Wheat,1994,5645000,1010,24.04,10000
Angola,Cassava,1995,5745000,1010,24.56,51000
Angola,Maize,1995,7000000,1010,24.56,3517
Angola,Potatoes,1995,7300000,1010,24.56,76738
Angola,"Rice, paddy",1995,6700000,1010,24.56,14615
Angola,Sweet potatoes,1995,8910000,1010,24.56,81138
Angola,Wheat,1995,5645000,1010,24.56,11855
Angola,Cassava,1996,5745000,1010,24.11,48077
Angola,Maize,1996,7000000,1010,24.11,6993
Angola,Potatoes,1996,7300000,1010,24.11,70000
Angola,"Rice, paddy",1996,6700000,1010,24.11,17500
Angola,Sweet potatoes,1996,8910000,1010,24.11,85455
Angola,Wheat,1996,5645000,1010,24.11,13738
Angola,Cassava,1997,5745000,1010,24.06,44205
Angola,Maize,1997,7000000,1010,24.06,5959
Angola,Potatoes,1997,7300000,1010,24.06,68571
Angola,"Rice, paddy",1997,6700000,1010,24.06,20000
Angola,Sweet potatoes,1997,8910000,1010,24.06,78098
Angola,Wheat,1997,5645000,1010,24.06,15509
Angola,Cassava,1998,5745000,1010,24.96,55728
Angola,Maize,1998,7000000,1010,24.96,7396
Angola,Potatoes,1998,7300000,1010,24.96,62724
Angola,"Rice, paddy",1998,6700000,1010,24.96,20000
Angola,Sweet potatoes,1998,8910000,1010,24.96,76256
Angola,Wheat,1998,5645000,1010,24.96,17143
Angola,Cassava,1999,5745000,1010,24.37,59821
Angola,Maize,1999,7000000,1010,24.37,6361
Angola,Potatoes,1999,7300000,1010,24.37,54597
Angola,"Rice, paddy",1999,6700000,1010,24.37,14235
Angola,Sweet potatoes,1999,8910000,1010,24.37,82865
Angola,Wheat,1999,5645000,1010,24.37,17391
Angola,Cassava,2000,5745000,1010,24.41,82992
Angola,Maize,2000,7000000,1010,24.41,5745
Angola,Potatoes,2000,7300000,1010,24.41,29885
Angola,"Rice, paddy",2000,6700000,1010,24.41,13454
Angola,Sorghum,2000,8900000,1010,24.41,3333
Angola,Soybeans,2000,7800000,1010,24.41,2333
Angola,Sweet potatoes,2000,8910000,1010,24.41,34938
Angola,Wheat,2000,5645000,1010,24.41,17023
Angola,Cassava,2001,5745000,1010,24.43,94072
Angola,Maize,2001,7000000,1010,24.43,5754
Angola,Potatoes,2001,7300000,1010,24.43,42552
Angola,"Rice, paddy",2001,6700000,1010,24.43,13701
Angola,Sorghum,2001,8900000,1010,24.43,3571
Angola,Soybeans,2001,7800000,1010,24.43,2500
Angola,Sweet potatoes,2001,8910000,1010,24.43,44458
Angola,Wheat,2001,5645000,1010,24.43,16667
Angola,Cassava,2002,5745000,1010,24.79,110071
Angola,Maize,2002,7000000,1010,24.79,6706
Angola,Potatoes,2002,7300000,1010,24.79,42754
Angola,"Rice, paddy",2002,6700000,1010,24.79,13198
Angola,Sorghum,2002,8900000,1010,24.79,3400
Angola,Soybeans,2002,7800000,1010,24.79,2857
Angola,Sweet potatoes,2002,8910000,1010,24.79,42190
Angola,Wheat,2002,5645000,1010,24.79,15455
Angola,Cassava,2004,5745000,1010,24.22,125605
Angola,Maize,2004,7000000,1010,24.22,5404
Angola,Potatoes,2004,7300000,1010,24.22,20150
Angola,"Rice, paddy",2004,6700000,1010,24.22,11584
Angola,Sorghum,2004,8900000,1010,24.22,3333
Angola,Soybeans,2004,7800000,1010,24.22,3600
Angola,Sweet potatoes,2004,8910000,1010,24.22,45360
Angola,Wheat,2004,5645000,1010,24.22,12442
Angola,Cassava,2005,5745000,1010,24.41,117628
Angola,Maize,2005,7000000,1010,24.41,6736
Angola,Potatoes,2005,7300000,1010,24.41,23646
Angola,"Rice, paddy",2005,6700000,1010,24.41,6977
Angola,Sorghum,2005,8900000,1010,24.41,3333
Angola,Soybeans,2005,7800000,1010,24.41,3793
Angola,Sweet potatoes,2005,8910000,1010,24.41,46159
Angola,Wheat,2005,5645000,1010,24.41,10946
Angola,Cassava,2006,5745000,1010,24.14,117201
Angola,Maize,2006,7000000,1010,24.14,4687
Angola,Potatoes,2006,7300000,1010,24.14,52148
Angola,"Rice, paddy",2006,6700000,1010,24.14,4947
Angola,Sorghum,2006,8900000,1010,24.14,4091
Angola,Soybeans,2006,7800000,1010,24.14,4286
Angola,Sweet potatoes,2006,8910000,1010,24.14,44240
Angola,Wheat,2006,5645000,1010,24.14,10000
Angola,Cassava,2007,5745000,1010,24.24,115387
Angola,Maize,2007,7000000,1010,24.24,5091
Angola,Potatoes,2007,7300000,1010,24.24,62138
Angola,"Rice, paddy",2007,6700000,1010,24.24,5143
Angola,Sorghum,2007,8900000,1010,24.24,4031
Angola,Soybeans,2007,7800000,1010,24.24,6883
Angola,Sweet potatoes,2007,8910000,1010,24.24,58855
Angola,Wheat,2007,5645000,1010,24.24,10000
Angola,Cassava,2008,5745000,1010,24.27,148084
Angola,Maize,2008,7000000,1010,24.27,7946
Angola,Potatoes,2008,7300000,1010,24.27,85085
Angola,"Rice, paddy",2008,6700000,1010,24.27,5084
Angola,Sorghum,2008,8900000,1010,24.27,929
Angola,Soybeans,2008,7800000,1010,24.27,8575
Angola,Sweet potatoes,2008,8910000,1010,24.27,65437
Angola,Wheat,2008,5645000,1010,24.27,10000
Angola,Cassava,2009,5745000,1010,24.33,151759
Angola,Maize,2009,7000000,1010,24.33,6614
Angola,Potatoes,2009,7300000,1010,24.33,86509
Angola,"Rice, paddy",2009,6700000,1010,24.33,6028
Angola,Sorghum,2009,8900000,1010,24.33,2480
Angola,Soybeans,2009,7800000,1010,24.33,4449
Angola,Sweet potatoes,2009,8910000,1010,24.33,66475
Angola,Wheat,2009,5645000,1010,24.33,10000
Angola,Cassava,2010,5745000,1010,24.44,155782
Angola,Maize,2010,7000000,1010,24.44,7200
Angola,Potatoes,2010,7300000,1010,24.44,87425
Angola,"Rice, paddy",2010,6700000,1010,24.44,7403
Angola,Sorghum,2010,8900000,1010,24.44,2814
Angola,Soybeans,2010,7800000,1010,24.44,4446
Angola,Sweet potatoes,2010,8910000,1010,24.44,63001
Angola,Wheat,2010,5645000,1010,24.44,10526
Angola,Cassava,2011,5745000,1010,24.15,133649
Angola,Maize,2011,7000000,1010,24.15,7376
Angola,Potatoes,2011,7300000,1010,24.15,81366
Angola,"Rice, paddy",2011,6700000,1010,24.15,8914
Angola,Sorghum,2011,8900000,1010,24.15,3320
Angola,Soybeans,2011,7800000,1010,24.15,5294
Angola,Sweet potatoes,2011,8910000,1010,24.15,65512
Angola,Wheat,2011,5645000,1010,24.15,10959
Angola,Cassava,2012,5745000,1010,24.24,100073
Angola,Maize,2012,7000000,1010,24.24,7770
Angola,Potatoes,2012,7300000,1010,24.24,69381
Angola,"Rice, paddy",2012,6700000,1010,24.24,7703
Angola,Sorghum,2012,8900000,1010,24.24,998
Angola,Soybeans,2012,7800000,1010,24.24,1641
Angola,Sweet potatoes,2012,8910000,1010,24.24,52954
Angola,Wheat,2012,5645000,1010,24.24,11258
Angola,Cassava,2013,5745000,1010,24.55,140517
Angola,Maize,2013,7000000,1010,24.55,9467
Angola,Potatoes,2013,7300000,1010,24.55,63303
Angola,"Rice, paddy",2013,6700000,1010,24.55,12744
Angola,Sorghum,2013,8900000,1010,24.55,2415
Angola,Soybeans,2013,7800000,1010,24.55,4405
Angola,Sweet potatoes,2013,8910000,1010,24.55,73409
Angola,Wheat,2013,5645000,1010,24.55,9022
Argentina,Cassava,1985,235000,591,17.53,91408
Argentina,Cassava,1985,235000,591,18.02,91408
Argentina,Maize,1985,401653,591,17.53,35629
Argentina,Maize,1985,401653,591,18.02,35629
Argentina,Potatoes,1985,400000,591,17.53,211124
Argentina,Potatoes,1985,400000,591,18.02,211124
Argentina,"Rice, paddy",1985,445653,591,17.53,36782
Argentina,"Rice, paddy",1985,445653,591,18.02,36782
Argentina,Sorghum,1985,545653,591,17.53,31552
Argentina,Sorghum,1985,545653,591,18.02,31552
Argentina,Soybeans,1985,330000,591,17.53,19884
Argentina,Soybeans,1985,330000,591,18.02,19884
Argentina,Sweet potatoes,1985,220000,591,17.53,117813
Argentina,Sweet potatoes,1985,220000,591,18.02,117813
Argentina,Wheat,1985,200000,591,17.53,16177
Argentina,Wheat,1985,200000,591,18.02,16177
Argentina,Cassava,1986,235000,591,18,120076
Argentina,Cassava,1986,235000,591,18.09,120076
Argentina,Maize,1986,401653,591,18,37450
Argentina,Maize,1986,401653,591,18.09,37450
Argentina,Potatoes,1986,400000,591,18,188418
Argentina,Potatoes,1986,400000,591,18.09,188418
Argentina,"Rice, paddy",1986,445653,591,18,38849
Argentina,"Rice, paddy",1986,445653,591,18.09,38849
Argentina,Sorghum,1986,545653,591,18,31250
Argentina,Sorghum,1986,545653,591,18.09,31250
Argentina,Soybeans,1986,330000,591,18,21411
Argentina,Soybeans,1986,330000,591,18.09,21411
Argentina,Sweet potatoes,1986,220000,591,18,127414
Argentina,Sweet potatoes,1986,220000,591,18.09,127414
Argentina,Wheat,1986,200000,591,18,17819
Argentina,Wheat,1986,200000,591,18.09,17819
Argentina,Cassava,1987,235000,591,17.32,101575
Argentina,Cassava,1987,235000,591,17.68,101575
Argentina,Maize,1987,401653,591,17.32,31897
Argentina,Maize,1987,401653,591,17.68,31897
Argentina,Potatoes,1987,400000,591,17.32,199960
Argentina,Potatoes,1987,400000,591,17.68,199960
Argentina,"Rice, paddy",1987,445653,591,17.32,39185
Argentina,"Rice, paddy",1987,445653,591,17.68,39185
Argentina,Sorghum,1987,545653,591,17.32,30673
Argentina,Sorghum,1987,545653,591,17.68,30673
Argentina,Soybeans,1987,330000,591,17.32,18966
Argentina,Soybeans,1987,330000,591,17.68,18966
Argentina,Sweet potatoes,1987,220000,591,17.32,138475
Argentina,Sweet potatoes,1987,220000,591,17.68,138475
Argentina,Wheat,1987,200000,591,17.32,18847
Argentina,Wheat,1987,200000,591,17.68,18847
Argentina,Cassava,1989,235000,591,18.04,100000
Argentina,Cassava,1989,235000,591,18.19,100000
Argentina,Maize,1989,401653,591,18.04,29103
Argentina,Maize,1989,401653,591,18.19,29103
Argentina,Potatoes,1989,400000,591,18.04,211882
Argentina,Potatoes,1989,400000,591,18.19,211882
Argentina,"Rice, paddy",1989,445653,591,18.04,46711
Argentina,"Rice, paddy",1989,445653,591,18.19,46711
Argentina,Sorghum,1989,545653,591,18.04,23397
Argentina,Sorghum,1989,545653,591,18.19,23397
Argentina,Soybeans,1989,330000,591,18.04,16534
Argentina,Soybeans,1989,330000,591,18.19,16534
Argentina,Sweet potatoes,1989,220000,591,18.04,145911
Argentina,Sweet potatoes,1989,220000,591,18.19,145911
Argentina,Wheat,1989,200000,591,18.04,18947
Argentina,Wheat,1989,200000,591,18.19,18947
Argentina,Cassava,1990,235000,591,17.46,100000
Argentina,Cassava,1990,235000,591,17.67,100000
Argentina,Maize,1990,401653,591,17.46,34608
Argentina,Maize,1990,401653,591,17.67,34608
Argentina,Potatoes,1990,400000,591,17.46,202747
Argentina,Potatoes,1990,400000,591,17.67,202747
Argentina,"Rice, paddy",1990,445653,591,17.46,36709
Argentina,"Rice, paddy",1990,445653,591,17.67,36709
Argentina,Sorghum,1990,545653,591,17.46,28116
Argentina,Sorghum,1990,545653,591,17.67,28116
Argentina,Soybeans,1990,330000,591,17.46,21566
Argentina,Soybeans,1990,330000,591,17.67,21566
Argentina,Sweet potatoes,1990,220000,591,17.46,131864
Argentina,Sweet potatoes,1990,220000,591,17.67,131864
